number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,critical_temp,Superconductivity Type
2,68.358,802.25,153,5194,1.5,7.5,128,2,0.016,1
2,94.43319,674.2,194,9425,80.5,31.4,96.5,5.5,0.016,1
1,183.84,769.7,193,19250,80.1,35,170,6,0.016,1
2,155.8922845,723.65,165,13305,127.35,7.88,201,4,0.0164,1
2,191.2235,843.95,182.5,22575,130.05,28.5,118.5,6,0.0167,1
2,78.4575,734.7,167,10122,60,19.75,99.5,4.5,0.018,1
2,88.7956,654.6,150.5,8197,78.75,8.445,229.5,2,0.019,1
2,114.8141,781.9,149,8593.5,115.9,15.5,227,3,0.019,1
3,107.0772,841.1333333,127.3333333,6425.666667,126.6666667,17.4,40,5,0.0195,1
1,195.084,868.1,177,21450,206.8,20,71,6,0.02,1
3,132.0641667,765.9666667,177,15793.33333,122.1666667,24.46666667,140,6,0.02,1
2,155.8922845,723.65,165,13305,127.35,7.88,201,4,0.022,1
3,107.0772,841.1333333,127.3333333,6425.666667,126.6666667,17.4,40,5,0.022,1
2,48.73925,744.25,166,1896,101.9,53.595,99,2.5,0.023,1
3,107.0772,841.1333333,127.3333333,6425.666667,126.6666667,17.4,40,5,0.023,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.024,1
2,113.2891,719.35,155,8900,117.95,9.15,248.5,2.5,0.025,1
2,68.088,752.5,135,7141.5,120.2,22.45,230,3,0.025,1
2,48.73925,744.25,166,1896,101.9,53.595,99,2.5,0.0252,1
2,155.8922845,723.65,165,13305,127.35,7.88,201,4,0.0256,1
2,147.56125,793.8,176.5,17505,131.85,23.85,150,6,0.026,1
1,9.012182,898.8,112,1848,1.5,7.95,190,2,0.026,1
3,112.9220359,674.8333333,149.3333333,9770,99.56666667,8.82,212.3333333,3.666666667,0.0278,1
2,147.56125,793.8,176.5,17505,131.85,23.85,150,6,0.028,1
2,114.8141,781.9,149,8593.5,115.9,15.5,227,3,0.028,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.0285,1
3,90.4798,678.7666667,153,6973.333333,95.16666667,18.16666667,54,3.333333333,0.03,1
4,125.5477425,683.825,167,9153.75,110.725,20.5,61.25,4.25,0.03,1
3,163.4021667,818.5666667,176.6666667,18820,156.8333333,22.56666667,123.6666667,6,0.03,1
2,88.91355,832.85,143.5,9088.5,95.35,24.7,100,5.5,0.03,1
2,73.97805,668.6,178,8735,69.6,28.25,116.5,6,0.03,1
2,99.43275,702.15,181.5,11365,92.3,28.85,144.5,6,0.03,1
2,147.56125,793.8,176.5,17505,131.85,23.85,150,6,0.03,1
3,119.59104,669.3666667,181.6666667,5868.333333,99.16666667,6.2,8.84,4.333333333,0.03,1
2,155.8922845,723.65,165,13305,127.35,7.88,201,4,0.031,1
3,107.0772,841.1333333,127.3333333,6425.666667,126.6666667,17.4,40,5,0.0318,1
3,163.4021667,818.5666667,176.6666667,18820,156.8333333,22.56666667,123.6666667,6,0.032,1
2,149.3185,835.8,174.5,17291.5,103.85,21.35,110.5,5,0.032,1
2,133.3447845,734,155,12602,127.35,9.045,174.5,4,0.032,1
3,132.0641667,765.9666667,177,15793.33333,122.1666667,24.46666667,140,6,0.033,1
3,107.0772,841.1333333,127.3333333,6425.666667,126.6666667,17.4,40,5,0.0332,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.034,1
3,112.9220359,674.8333333,149.3333333,9770,99.56666667,8.82,212.3333333,3.666666667,0.034,1
3,90.4798,678.7666667,153,6973.333333,95.16666667,18.16666667,54,3.333333333,0.035,1
2,149.3185,835.8,174.5,17291.5,103.85,21.35,110.5,5,0.035,1
2,155.8922845,723.65,165,13305,127.35,7.88,201,4,0.035,1
3,164.5736667,846.5666667,175.3333333,18677.66667,138.1666667,20.9,97.33333333,5.333333333,0.037,1
2,114.8141,781.9,149,8593.5,115.9,15.5,227,3,0.037,1
2,146.56775,769.65,179,17520,109.4,26.35,118.5,6,0.0376,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.038,1
3,107.0772,841.1333333,127.3333333,6425.666667,126.6666667,17.4,40,5,0.038,1
3,72.94356287,584.6333333,178.6666667,5150,49.2,13.46666667,93,4,0.039,1
2,92.653,789.15,139,7828.5,112.3,16.4,212,3.5,0.041,1
2,101.225735,643.05,170,7553,84.7,9.7,206.5,2.5,0.042,1
2,155.8922845,723.65,165,13305,127.35,7.88,201,4,0.0423,1
3,127.1691897,675.3333333,155.3333333,10838,95.03333333,7.116666667,143.6666667,3.666666667,0.0425,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.0433,1
2,73.97805,668.6,178,8735,69.6,28.25,116.5,6,0.045,1
3,112.9220359,674.8333333,149.3333333,9770,99.56666667,8.82,212.3333333,3.666666667,0.045,1
2,125.5750975,813.1,166,15730,108.85,21.1,125,5,0.046,1
2,193.6505,868.1,178.5,22005,179.65,23,110.5,6,0.046,1
2,92.653,789.15,139,7828.5,112.3,16.4,212,3.5,0.047,1
2,149.3185,835.8,174.5,17291.5,103.85,21.35,110.5,5,0.047,1
2,157.8382845,798.75,159.5,13305,166.55,9.75,193.5,4.5,0.047,1
2,113.2891,719.35,155,8900,117.95,9.15,248.5,2.5,0.047,1
3,110.3558667,919.6,122.3333333,7277.143,102.0666667,5.430666667,155.00886,2.333333333,0.048,1
2,66.6345,661.85,140.5,7432,75.15,9.345,214.5,2.5,0.048,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.048,1
3,107.0772,841.1333333,127.3333333,6425.666667,126.6666667,17.4,40,5,0.048,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.0485,1
2,137.225,630,199,11795,37.45,30.75,81,5,0.05,1
3,50.49546667,839.9666667,147.6666667,2379.476333,52.71,8.974,19.00886,2.666666667,0.05,1
2,149.3185,835.8,174.5,17291.5,103.85,21.35,110.5,5,0.05,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.05,1
3,132.0641667,765.9666667,177,15793.33333,122.1666667,24.46666667,140,6,0.05,1
2,45.81575,765.5,128,5645,127.5,31.65,275,3,0.05,1
3,132.8348833,766.8333333,189.6666667,12113.33333,68.5,13.41666667,94.33333333,4,0.05,1
3,72.94356287,584.6333333,178.6666667,5150,49.2,13.46666667,93,4,0.05,1
1,192.217,868.1,180,22560,152.5,26,150,6,0.051,1
3,107.0772,841.1333333,127.3333333,6425.666667,126.6666667,17.4,40,5,0.051,1
2,125.4552,802.15,164.5,15734,133,21.6,120.5,4,0.052,1
3,110.3558667,919.6,122.3333333,7277.143,102.0666667,5.430666667,155.00886,2.333333333,0.0524,1
2,78.4575,734.7,167,10122,60,19.75,99.5,4.5,0.054,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.055,1
3,132.0641667,765.9666667,177,15793.33333,122.1666667,24.46666667,140,6,0.055,1
2,113.2891,719.35,155,8900,117.95,9.15,248.5,2.5,0.055,1
3,112.9220359,674.8333333,149.3333333,9770,99.56666667,8.82,212.3333333,3.666666667,0.0555,1
2,45.81575,765.5,128,5645,127.5,31.65,275,3,0.058,1
3,107.0772,841.1333333,127.3333333,6425.666667,126.6666667,17.4,40,5,0.058,1
2,142.56169,765.85,189,15565,120.05,26.4,102,5.5,0.06,1
2,147.56125,793.8,176.5,17505,131.85,23.85,150,6,0.06,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.06,1
2,113.2891,719.35,155,8900,117.95,9.15,248.5,2.5,0.06,1
3,112.9220359,674.8333333,149.3333333,9770,99.56666667,8.82,212.3333333,3.666666667,0.0609,1
3,179.7277667,724.3666667,144.3333333,9810,83,8.823333333,28,4.333333333,0.061,1
3,112.9220359,674.8333333,149.3333333,9770,99.56666667,8.82,212.3333333,3.666666667,0.0619,1
2,155.8922845,723.65,165,13305,127.35,7.88,201,4,0.0625,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.064,1
3,132.0641667,765.9666667,177,15793.33333,122.1666667,24.46666667,140,6,0.064,1
2,155.8922845,723.65,165,13305,127.35,7.88,201,4,0.0641,1
2,137.225,630,199,11795,37.45,30.75,81,5,0.065,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.065,1
2,117.386335,869.4,140,7715,211.9,9.53,215.2245,4,0.066,1
2,193.6505,868.1,178.5,22005,179.65,23,110.5,6,0.066,1
2,63.4333016,1205.25,103.5,5245.848,228.3,5.78,215.01385,1,0.066,1
2,113.2891,719.35,155,8900,117.95,9.15,248.5,2.5,0.066,1
2,92.653,789.15,139,7828.5,112.3,16.4,212,3.5,0.067,1
2,186.58244,814.1,190,19605,92.5,31,103.5,5.5,0.067,1
4,47.8911,777.325,159.25,2172.10725,40.5,8.8655,64.256645,2.5,0.067,1
3,112.9220359,674.8333333,149.3333333,9770,99.56666667,8.82,212.3333333,3.666666667,0.0672,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.068,1
3,107.0772,841.1333333,127.3333333,6425.666667,126.6666667,17.4,40,5,0.068,1
3,127.1691897,675.3333333,155.3333333,10838,95.03333333,7.116666667,143.6666667,3.666666667,0.0682,1
2,149.3185,835.8,174.5,17291.5,103.85,21.35,110.5,5,0.069,1
2,92.653,789.15,139,7828.5,112.3,16.4,212,3.5,0.07,1
2,137.225,630,199,11795,37.45,30.75,81,5,0.07,1
2,77.4508,685.95,169.5,9820,88.5,21.1,122,6,0.07,1
3,132.8348833,766.8333333,189.6666667,12113.33333,68.5,13.41666667,94.33333333,4,0.07,1
4,134.35253,710.4,191,10621.5,63.75,11.6375,74,3.75,0.07,1
2,100.115,814.5,124,5781.5,156.1,24.65,31.5,5,0.071,1
2,77.4508,685.95,169.5,9820,88.5,21.1,122,6,0.072,1
2,68.088,752.5,135,7141.5,120.2,22.45,230,3,0.072,1
3,107.0772,841.1333333,127.3333333,6425.666667,126.6666667,17.4,40,5,0.073,1
3,89.96549,682.2,159.6666667,6975.333333,98.6,26.06666667,104.3333333,4.333333333,0.074,1
2,147.56125,793.8,176.5,17505,131.85,23.85,150,6,0.075,1
2,137.225,630,199,11795,37.45,30.75,81,5,0.076,1
3,112.9220359,674.8333333,149.3333333,9770,99.56666667,8.82,212.3333333,3.666666667,0.0763,1
2,155.8922845,723.65,165,13305,127.35,7.88,201,4,0.077,1
2,68.089956,645.25,195,4748,31.1,18.5,19.5,3.5,0.08,1
3,160.4431667,782.2333333,180.3333333,18676.66667,93.23333333,26.9,116,6.333333333,0.08,1
2,100.115,814.5,124,5781.5,156.1,24.65,31.5,5,0.08,1
2,78.68075,726.8,170,9066.5,53.65,19.75,51,4.5,0.08,1
3,70.28217953,660.1333333,142.3333333,3910,41.23333333,22.8,100.3333333,3,0.08,1
2,78.68075,726.8,170,9066.5,53.65,19.75,51,4.5,0.082,1
2,68.088,752.5,135,7141.5,120.2,22.45,230,3,0.084,1
2,92.653,789.15,139,7828.5,112.3,16.4,212,3.5,0.085,1
3,50.49546667,839.9666667,147.6666667,2379.476333,52.71,8.974,19.00886,2.666666667,0.085,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.087,1
2,111.9740538,733.25,146,11000,134.15,11.6,277.5,4,0.088,1
2,67.4248693,653.85,141.5,6595,85.55,11,332.5,2,0.088,1
2,146.56775,769.65,179,17520,109.4,26.35,118.5,6,0.09,1
2,80.0015975,734.2,165,10635,84,20.95,110,5,0.09,1
3,97.8903692,681.7333333,142.6666667,9301.333333,99.56666667,9.596666667,194.6666667,3.666666667,0.09,1
2,113.2891,719.35,155,8900,117.95,9.15,248.5,2.5,0.09,1
2,113.2891,719.35,155,8900,117.95,9.15,248.5,2.5,0.09,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.092,1
4,134.35253,710.4,191,10621.5,63.75,11.6375,74,3.75,0.093,1
2,111.9740538,733.25,146,11000,134.15,11.6,277.5,4,0.095,1
2,73.97805,668.6,178,8735,69.6,28.25,116.5,6,0.095,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.095,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.095,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.095,1
2,94.43319,674.2,194,9425,80.5,31.4,96.5,5.5,0.095,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.096,1
6,92.85524167,737.6666667,166,4926.904833,69.5,7.943666667,109.3377633,2.833333333,0.1,1
6,97.24713333,746.7333333,162.5,5331.238167,69.5,10.11033333,109.6710967,2.666666667,0.1,1
2,113.90566,578.25,203.5,5309,40.3,8.85,15,3,0.1,1
2,100.115,814.5,124,5781.5,156.1,24.65,31.5,5,0.1,1
4,47.8911,777.325,159.25,2172.10725,40.5,8.8655,64.256645,2.5,0.1,1
4,72.20335,755.6,174,2662.10725,43.395,8.7305,18.756645,2.5,0.1,1
4,76.094375,707.775,141.5,5825.5,106.75,25.15,155.25,3.5,0.1,1
2,51.4688,651.25,168.5,6650,58.95,21.65,62.5,5.5,0.1,1
2,99.43275,702.15,181.5,11365,92.3,28.85,144.5,6,0.1,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.1,1
2,67.4248693,653.85,141.5,6595,85.55,11,332.5,2,0.1,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.1,1
4,55.407775,790.55,122,5079.25,87.15,44.425,67.25,3.25,0.1,1
3,97.8903692,681.7333333,142.6666667,9301.333333,99.56666667,9.596666667,194.6666667,3.666666667,0.101,1
2,142.56169,765.85,189,15565,120.05,26.4,102,5.5,0.102,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.104,1
2,68.358,802.25,153,5194,1.5,7.5,128,2,0.105,1
2,146.6435,789.2,179,17465,127.65,25.85,135,6,0.105,1
2,67.4248693,653.85,141.5,6595,85.55,11,332.5,2,0.106,1
2,144.0885,776.45,185,16420,112.95,31,144.5,6,0.107,1
2,188.0285,818.9,186.5,20905,116.3,30.5,160,6,0.107,1
3,107.0772,841.1333333,127.3333333,6425.666667,126.6666667,17.4,40,5,0.108,1
2,73.45075,667.45,180.5,8195,62.75,29.4,85,5.5,0.11,1
2,68.089956,645.25,195,4748,31.1,18.5,19.5,3.5,0.11,1
2,101.98775,714.9,175.5,12410,107,23.7,135,6,0.11,1
1,192.217,868.1,180,22560,152.5,26,150,6,0.11,1
2,121.57925,759.1,175.5,14335,102.3,24.4,90.5,5.5,0.11,1
2,146.6435,789.2,179,17465,127.65,25.85,135,6,0.11,1
2,146.6435,789.2,179,17465,127.65,25.85,135,6,0.11,1
2,67.4248693,653.85,141.5,6595,85.55,11,332.5,2,0.11,1
3,119.2798333,605.8666667,171.3333333,8816.333333,64.36666667,10.15333333,81,4.333333333,0.11,1
2,189.212,813.6,184,21790,84.25,29.5,99,6.5,0.112,1
1,192.217,868.1,180,22560,152.5,26,150,6,0.113,1
2,121.57925,759.1,175.5,14335,102.3,24.4,90.5,5.5,0.115,1
2,142.56169,765.85,189,15565,120.05,26.4,102,5.5,0.115,1
2,186.58244,814.1,190,19605,92.5,31,103.5,5.5,0.116,1
2,88.7956,654.6,150.5,8197,78.75,8.445,229.5,2,0.116,1
2,68.088,752.5,135,7141.5,120.2,22.45,230,3,0.117,1
4,76.094375,707.775,141.5,5825.5,106.75,25.15,155.25,3.5,0.12,1
3,50.49546667,839.9666667,147.6666667,2379.476333,52.71,8.974,19.00886,2.666666667,0.12,1
2,144.0885,776.45,185,16420,112.95,31,144.5,6,0.12,1
2,93.592,672.25,198,8395.5,58,28.5,81,5,0.125,1
2,188.0285,818.9,186.5,20905,116.3,30.5,160,6,0.125,1
2,186.58244,814.1,190,19605,92.5,31,103.5,5.5,0.125,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.125,1
2,67.4248693,653.85,141.5,6595,85.55,11,332.5,2,0.126,1
2,186.58244,814.1,190,19605,92.5,31,103.5,5.5,0.127,1
1,178.49,575.2,208,13310,1.5,25.5,23,4,0.128,1
2,129.95394,850.25,151.5,10734.5,114.5,20.7,28.76,5.5,0.13,1
2,144.0885,776.45,185,16420,112.95,31,144.5,6,0.13,1
2,146.6435,789.2,179,17465,127.65,25.85,135,6,0.13,1
3,160.4431667,782.2333333,180.3333333,18676.66667,93.23333333,26.9,116,6.333333333,0.13,1
3,127.1691897,675.3333333,155.3333333,10838,95.03333333,7.116666667,143.6666667,3.666666667,0.13,1
3,116.5237733,663.2666667,180,5771.666667,61.76666667,12.46666667,18,3.666666667,0.13,1
2,68.088,752.5,135,7141.5,120.2,22.45,230,3,0.13,1
4,47.8911,777.325,159.25,2172.10725,40.5,8.8655,64.256645,2.5,0.132,1
3,50.49546667,839.9666667,147.6666667,2379.476333,52.71,8.974,19.00886,2.666666667,0.133,1
2,144.0885,776.45,185,16420,112.95,31,144.5,6,0.133,1
2,25.5545,752.1,155,1558,102.65,53.665,120,2.5,0.134,1
2,72.45807595,730.6,182.5,2069.5,101.2,53.545,88,2.5,0.135,1
3,127.1691897,675.3333333,155.3333333,10838,95.03333333,7.116666667,143.6666667,3.666666667,0.137,1
2,68.358,802.25,153,5194,1.5,7.5,128,2,0.138,1
2,142.56169,765.85,189,15565,120.05,26.4,102,5.5,0.138,1
2,129.95394,850.25,151.5,10734.5,114.5,20.7,28.76,5.5,0.14,1
4,91.030375,778.275,141.5,8384.75,134.1,11.8,154.38,4.5,0.14,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.14,1
3,121.0951667,731.4,157.6666667,10156.33333,131.1333333,25.23333333,77.33333333,4.666666667,0.14,1
3,180.3212333,720.2666667,140.6666667,9290,101.7,10.86666667,19,4.666666667,0.141,1
2,189.212,813.6,184,21790,84.25,29.5,99,6.5,0.142,1
2,146.6435,789.2,179,17465,127.65,25.85,135,6,0.142,1
2,25.5545,752.1,155,1558,102.65,53.665,120,2.5,0.145,1
2,68.358,802.25,153,5194,1.5,7.5,128,2,0.145,1
2,68.088,752.5,135,7141.5,120.2,22.45,230,3,0.145,1
2,121.57925,759.1,175.5,14335,102.3,24.4,90.5,5.5,0.147,1
4,38.4192508,1130.95,85.5,3238.28125,156.825,15.4455,114.26357,1.75,0.15,1
4,125.5477425,683.825,167,9153.75,110.725,20.5,61.25,4.25,0.15,1
4,38.4192508,1130.95,85.5,3238.28125,156.825,15.4455,114.26357,1.75,0.15,1
2,127.467,549.05,170.5,6999.5,40.95,4.38,46.5,3.5,0.15,1
4,76.094375,707.775,141.5,5825.5,106.75,25.15,155.25,3.5,0.15,1
2,186.58244,814.1,190,19605,92.5,31,103.5,5.5,0.15,1
2,122.10655,760.25,173,14875,109.15,23.25,122,6,0.15,1
2,129.95394,850.25,151.5,10734.5,114.5,20.7,28.76,5.5,0.15,1
2,25.5545,752.1,155,1558,102.65,53.665,120,2.5,0.152,1
2,202.0322,785.5,160,15615,149.75,15.45,39.5,5.5,0.155,1
2,73.97805,668.6,178,8735,69.6,28.25,116.5,6,0.155,1
2,173.942935,622,169,7963,71.1,8.6,10.5,4,0.155,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.155,1
3,97.8903692,681.7333333,142.6666667,9301.333333,99.56666667,9.596666667,194.6666667,3.666666667,0.158,1
3,156.5486233,692.4333333,157,7541,82.3,12.3,15,4.333333333,0.158,1
2,68.358,802.25,153,5194,1.5,7.5,128,2,0.16,1
2,112.4475,871.65,158,7636,1.5,5.495,84.15,2,0.16,1
3,161.1723333,799.4,181,19173.33333,120.9666667,27.56666667,119,6,0.16,1
2,129.95394,850.25,151.5,10734.5,114.5,20.7,28.76,5.5,0.16,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.16,1
2,188.0285,818.9,186.5,20905,116.3,30.5,160,6,0.162,1
2,78.4575,734.7,167,10122,60,19.75,99.5,4.5,0.165,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.165,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.167,1
2,122.10655,760.25,173,14875,109.15,23.25,122,6,0.168,1
2,144.0885,776.45,185,16420,112.95,31,144.5,6,0.168,1
2,133.3447845,734,155,12602,127.35,9.045,174.5,4,0.168,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.168,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.168,1
2,73.5345,709.4,181,7192.5,29.9,17.4,51,3.5,0.17,1
2,127.467,549.05,170.5,6999.5,40.95,4.38,46.5,3.5,0.17,1
2,100.115,814.5,124,5781.5,156.1,24.65,31.5,5,0.171,1
2,100.115,814.5,124,5781.5,156.1,24.65,31.5,5,0.172,1
2,142.56169,765.85,189,15565,120.05,26.4,102,5.5,0.172,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.174,1
2,68.088,752.5,135,7141.5,120.2,22.45,230,3,0.175,1
3,50.49546667,839.9666667,147.6666667,2379.476333,52.71,8.974,19.00886,2.666666667,0.175,1
2,101.98775,714.9,175.5,12410,107,23.7,135,6,0.18,1
2,146.6435,789.2,179,17465,127.65,25.85,135,6,0.18,1
2,146.6435,789.2,179,17465,127.65,25.85,135,6,0.18,1
3,94.31183333,790.0666667,151.3333333,9879.666667,136.8333333,17.6,90.17333333,6,0.18,1
2,146.6435,789.2,179,17465,127.65,25.85,135,6,0.18,1
4,47.8911,777.325,159.25,2172.10725,40.5,8.8655,64.256645,2.5,0.182,1
2,92.653,789.15,139,7828.5,112.3,16.4,212,3.5,0.184,1
2,68.358,802.25,153,5194,1.5,7.5,128,2,0.185,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.189,1
4,76.094375,707.775,141.5,5825.5,106.75,25.15,155.25,3.5,0.19,1
2,108.86175,638.75,164.5,9880,70.8,12.48,116,4.5,0.19,1
3,71.91872953,587.2,180.3333333,4615.666667,34.86666667,12.1,90,3.666666667,0.19,1
4,139.8905,708.35,170.5,11302.25,58.975,10.265,84.75,3.75,0.194,1
3,27.68631287,826.5666667,120,1417.143,63.45666667,6.487333333,145.00886,2.333333333,0.195,1
5,72.383174,781.46,152.6,5122.2858,67.126,8.2844,105.405316,2.4,0.2,1
3,90.4798,678.7666667,153,6973.333333,95.16666667,18.16666667,54,3.333333333,0.2,1
3,50.49546667,839.9666667,147.6666667,2379.476333,52.71,8.974,19.00886,2.666666667,0.2,1
4,76.094375,707.775,141.5,5825.5,106.75,25.15,155.25,3.5,0.2,1
2,127.467,549.05,170.5,6999.5,40.95,4.38,46.5,3.5,0.2,1
4,76.094375,707.775,141.5,5825.5,106.75,25.15,155.25,3.5,0.2,1
2,80.0015975,734.2,165,10635,84,20.95,110,5,0.2,1
2,79.8817,723.25,163.5,10639,108.15,21.45,105.5,4,0.2,1
1,74.9216,946.2,114,5727,79.5,27.7,50,5,0.2,1
3,68.58746667,718.3333333,170.3333333,7764.333333,57.76666667,17.33333333,64.33333333,3,0.2,1
2,129.95394,850.25,151.5,10734.5,114.5,20.7,28.76,5.5,0.2,1
3,101.7851567,719.0666667,171.6666667,8552,51.26666667,13.11666667,84.33333333,3.666666667,0.2,1
2,64.41235,979.75,106,3655.6255,19.45,1.81,41.012915,3,0.2,1
6,61.67497887,1024.216667,116.1666667,4481.6875,103.2833333,9.272,43.67571333,2.666666667,0.2,1
5,59.626788,973.96,121.8,4191.10378,73,10.156,28.441416,2.8,0.2,1
3,50.49546667,839.9666667,147.6666667,2379.476333,52.71,8.974,19.00886,2.666666667,0.201,1
2,23.03585,1200.25,71.5,980.6255,105,1.045,0.115415,4.5,0.205,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.207,1
2,124.1065,576.95,172,9607,15.95,15.545,26,3.5,0.21,1
2,100.115,814.5,124,5781.5,156.1,24.65,31.5,5,0.21,1
4,76.094375,707.775,141.5,5825.5,106.75,25.15,155.25,3.5,0.21,1
2,148.077,789.2,177.5,16910,154.8,22.85,95.5,6,0.21,1
2,146.6435,789.2,179,17465,127.65,25.85,135,6,0.21,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.21,1
2,183.57744,759.6,194,18835,24.25,34.5,52.5,6,0.21,1
2,157.8382845,798.75,159.5,13305,166.55,9.75,193.5,4.5,0.21,1
2,189.462,818.9,185,20350,143.45,27.5,120.5,6,0.213,1
3,50.49546667,839.9666667,147.6666667,2379.476333,52.71,8.974,19.00886,2.666666667,0.214,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.214,1
3,90.4798,678.7666667,153,6973.333333,95.16666667,18.16666667,54,3.333333333,0.22,1
2,155.8922845,723.65,165,13305,127.35,7.88,201,4,0.22,1
3,90.4798,678.7666667,153,6973.333333,95.16666667,18.16666667,54,3.333333333,0.22,1
4,137.514125,671.425,173.5,12252.25,86.4,14.115,98.25,4.75,0.22,1
2,77.4465975,721.45,171,9590,69.3,26.1,119.5,5,0.22,1
2,189.212,813.6,184,21790,84.25,29.5,99,6.5,0.22,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.22,1
3,161.7841667,802.4666667,179.3333333,19200,123.7666667,26.23333333,129,6,0.22,1
3,17.37231333,938.5,121,1038.696633,93.2,35.96266667,80.06016667,2,0.22,1
2,129.95394,850.25,151.5,10734.5,114.5,20.7,28.76,5.5,0.22,1
3,90.4798,678.7666667,153,6973.333333,95.16666667,18.16666667,54,3.333333333,0.23,1
2,190.127,659.1,188,8955,44.05,6.235,37,3.5,0.23,1
2,188.0285,818.9,186.5,20905,116.3,30.5,160,6,0.23,1
